	created_at	favorite_count	retweet_count	text
0	Fri Nov 16 15:42:01 +0000 2018	0	0	@AtonAha @medhk13 @sabrinalinterne @NardineMorano @agnesbuzyn @EmmanuelMacron Parfaite réponse 😂😂 !
1	Fri Nov 16 15:41:53 +0000 2018	0	323	"RT @ccastanette: Nous n'accepterons aucun blocage total pour le #17novembre.
A titre d'exemple, @EmmanuelMacron sera poursuivi pour entrave…"
2	Fri Nov 16 15:41:44 +0000 2018	0	12	RT @GuillaumeQ1T1: coup, ces gauchistes à 10000€/mois vont se tourner vers un truc sans odeur, sans saveur, et sans contenu, juste pour se…
3	Fri Nov 16 15:41:37 +0000 2018	1	0	@Laastea1 @BFleurot @phoebe42400 @z_ariu @baruware @EmmanuelMacron @takeheight J'aurais aimé continuer la conversat… https://t.co/gGwiNd00H7
4	Fri Nov 16 15:41:30 +0000 2018	0	2	"RT @JPRiviere: @sabrinalinterne @agnesbuzyn @EmmanuelMacron ""A la remise de notre rapport https://t.co/6EB8AB5GuD nous avons demandé à @agn…"
5	Fri Nov 16 15:41:26 +0000 2018	0	163	RT @TeamMacronPR: « Il faut tenir bon ! » vidéo touchante d’@EmmanuelMacron à la rencontre des français. https://t.co/QgeJR7WNs1
6	Fri Nov 16 15:41:25 +0000 2018	0	0	RT !! Ce que cette personne dit est clairement la vérité ! @EmmanuelMacron #GILETSJAUNES #mouvement #partage… https://t.co/GspDkaRJ8A
7	Fri Nov 16 15:41:24 +0000 2018	0	182	"RT @EmmanuelMacron: LIVE | Discours inaugural au musée des Beaux-Arts et d’Archéologie de Besançon. La culture, partout et pour tous !
http…"
8	Fri Nov 16 15:41:21 +0000 2018	0	0	"@EmmanuelMacron Oh la la ! Oh la la ! Comment il fait pitié le ""Président "" FranÇais ! 😳"
9	Fri Nov 16 15:41:16 +0000 2018	0	0	comment ça « loi anti-fessée » ? y’a pas d’autres problèmes plus importants là? @EmmanuelMacron tu joues à quoi?
10	Fri Nov 16 15:41:10 +0000 2018	0	935	"RT @EmmanuelMacron: LIVE | Ouverture du Forum de Paris sur la Paix.
https://t.co/4Hb45atjCz"
11	Fri Nov 16 15:41:06 +0000 2018	0	182	"RT @EmmanuelMacron: LIVE | Discours inaugural au musée des Beaux-Arts et d’Archéologie de Besançon. La culture, partout et pour tous !
http…"
12	Fri Nov 16 15:41:05 +0000 2018	0	0	@fxqoff @POTUS @EmmanuelMacron @jairbolsonaro
13	Fri Nov 16 15:40:57 +0000 2018	0	0	@EmmanuelMacron @Acosta Cabal
14	Fri Nov 16 15:40:53 +0000 2018	0	8	"RT @JulietteEtVous: Donc soyons clair.

Qui est éligible à l'aide de 4000e pour changer sa voiture ?

Un couple de Francais au smic avec 3…"
