created_at	favorite_count	retweet_count	text
Fri Nov 16 18:14:33 +0000 2018	0	0	@EmmanuelMacron Commencez donc par protéger la France https://t.co/vAx93g3xtP
Fri Nov 16 18:14:33 +0000 2018	0	0	@TPMP @EmmanuelMacron D’habitude c’est pas lui c’est @Jeffpanacloc qui lui met la main dans son fion 😅 #tpmp https://t.co/4OV8yEeAch
Fri Nov 16 18:14:31 +0000 2018	0	616	RT @menard2017: Après le #diesel, @EmmanuelMacron s'attaque au #fioul. Des millions de Français modestes vont encore être touchés. Que cher…
Fri Nov 16 18:14:30 +0000 2018	0	0	@hannicanie @gouvernementFR @AssembleeNat @EmmanuelMacron @EPhilippePM C quoi vivre correctement et c est qui on ?
Fri Nov 16 18:14:26 +0000 2018	0	406	RT @Elysee: Au Maroc, le Président @EmmanuelMacron inaugure la première ligne ferroviaire à grande vitesse d’Afrique, reliant Tanger à Casa…
Fri Nov 16 18:14:23 +0000 2018	0	0	@TmaxLeRetour @tinmarpsychos @6dumat @BADDESTSBACK @donaldleretour @EmmanuelMacron @stop_homophobie @Lukiesport… https://t.co/GVVUosGKvb
Fri Nov 16 18:14:19 +0000 2018	0	108	RT @ECiotti: Je demande au président @EmmanuelMacron d’annuler les hausses d’impôts passées et de revenir sur celles prévues en 2019. Ces 1…
Fri Nov 16 18:14:19 +0000 2018	0	210	"RT @EmmanuelMacron: LIVE | Discours inaugural au musée des Beaux-Arts et d’Archéologie de Besançon. La culture, partout et pour tous !
http…"
Fri Nov 16 18:14:16 +0000 2018	0	0	@Se0x94 @xbox1better @LinetteElire @w2exx @xavierlemans @EmmanuelMacron Allez Kevin, rentre à la maison, ta mère a fait des frites ce soir
Fri Nov 16 18:14:09 +0000 2018	0	1450	RT @KersausonDe: Puisque @EmmanuelMacron s’est exprimé pacifiquement depuis « son » porte-avions, il peut supporter que le #GiletJaune s’ex…
Fri Nov 16 18:14:02 +0000 2018	0	0	@Elysee @EmmanuelMacron Et l'argent des français. Faudra que le Maroc pense à nous remercier
Fri Nov 16 18:13:59 +0000 2018	0	14	"RT @VerdierJouclas: Dans la délégation française pour accompagner le #President @EmmanuelMacron : inauguration du #TGV #Tanger / 
#Rabat av…"
Fri Nov 16 17:55:19 +0000 2018	0	0	@naciodigital @RicardUstrell @marinelepen @quatregatstv3 @tv3cat Cal? De debò? Tenim un Jordi Évole 2.0? No cal donar veu al feixisme.
Fri Nov 16 16:38:41 +0000 2018	0	3	RT @naciodigital: VÍDEO @RicardUstrell entrevistarà Marine Le Pen (@marinelepen) en el retorn del @quatregatstv3 a @tv3cat https://t.co/b9Y…
Fri Nov 16 15:50:26 +0000 2018	0	3	RT @naciodigital: VÍDEO @RicardUstrell entrevistarà Marine Le Pen (@marinelepen) en el retorn del @quatregatstv3 a @tv3cat https://t.co/b9Y…
Fri Nov 16 15:34:14 +0000 2018	0	0	@naciodigital @RicardUstrell @marinelepen @quatregatstv3 @tv3cat Quina p*ta mania de portar xenòfobs a la nostra te… https://t.co/w8g5Zfan2L
Fri Nov 16 15:34:13 +0000 2018	0	0	@naciodigital @RicardUstrell @marinelepen @quatregatstv3 @tv3cat Gràcies per avisar. Un altre programa de TV3 q dei… https://t.co/FXORIjgWrv
Fri Nov 16 15:27:48 +0000 2018	0	3	RT @naciodigital: VÍDEO @RicardUstrell entrevistarà Marine Le Pen (@marinelepen) en el retorn del @quatregatstv3 a @tv3cat https://t.co/b9Y…
Fri Nov 16 15:27:19 +0000 2018	4	3	VÍDEO @RicardUstrell entrevistarà Marine Le Pen (@marinelepen) en el retorn del @quatregatstv3 a @tv3cat https://t.co/b9YqFmL9sp
Fri Nov 16 10:48:47 +0000 2018	0	0	"il est ou @marinelepen  , ce mec c croit français ou il est juste lui un cougrars !!!!
Occupe toi du foot la politi… https://t.co/5l3EsGSu2p"
Fri Nov 16 10:03:23 +0000 2018	0	0	"@LeHuffPost Pourquoi aucun extraterrestre n'a répondu...

Parce que ils sont effrayés par les gesticulations de… https://t.co/NkIGc5eB8T"
Fri Nov 16 04:00:19 +0000 2018	0	0	@GOPChairwoman @RonDeSantisFL @RepDeSantis @AfD @AfD_Bayern @AfD_Hessen @frontnational86 @fnpresse @marionlepen… https://t.co/czHWKJ6V7K
Thu Nov 15 21:07:26 +0000 2018	0	0	@HamillHimself Yeah like @marinelepen, @ArleneFoster or @AliceWeidelAfD
Thu Nov 15 16:54:42 +0000 2018	0	0	@V_of_Europe The idiotic liberal French people had a chance to elect @marinelepen  but were too stupid to realize h… https://t.co/bnrO13CLZo
Wed Nov 14 22:00:26 +0000 2018	1	0	@2xlegalaliens @realDonaldTrump @marinelepen Same thing.
Wed Nov 14 21:22:32 +0000 2018	0	1	@8Husbands @alischris05 @marinelepen @MimieMathyOff De rien :S
Wed Nov 14 21:20:32 +0000 2018	1	1	@alischris05 @marinelepen @8Husbands @MimieMathyOff
