created_at	favorite_count	retweet_count	text
Fri Nov 16 15:44:05 +0000 2018	0	114	RT @gerard_larcher: Ni condescendance, ni légèreté face au malaise des élus locaux. C’est un signal d’alarme pour ⁦@EmmanuelMacron⁩ et ⁦@go…
Fri Nov 16 15:43:52 +0000 2018	0	0	@CMilfaq @mounir @BrunelleCb75011 @EmmanuelMacron J'apprécie la culture chinoise les filles aussi....bon moins le g… https://t.co/Cvqe5vQmaT
Fri Nov 16 15:43:48 +0000 2018	0	8	RT @sabrinalinterne: @medhk13 @NardineMorano @agnesbuzyn @EmmanuelMacron Je ne suis venue de nulle part monsieur le raciste EM. Ma mère est…
Fri Nov 16 15:43:40 +0000 2018	0	112	RT @EmmanuelMacron: Besançon tient dignement son rang de Ville d’Art et d’Histoire en rouvrant aujourd’hui les portes du plus ancien de nos…
Fri Nov 16 15:43:38 +0000 2018	0	24146	RT @EmmanuelMacron: Le patriotisme est l’exact contraire du nationalisme : le nationalisme en est la trahison. En disant « nos intérêts d’a…
Fri Nov 16 15:43:35 +0000 2018	0	0	@arnaud_reboul @EmmanuelMacron Je suis très heureux’ vous vivez certainement mieux que vos grands parents mais le b… https://t.co/RhjXyaDm1M
Fri Nov 16 15:43:31 +0000 2018	0	24298	RT @benmendy23: Jmoccupe de lui @EmmanuelMacron tkt
Fri Nov 16 15:43:25 +0000 2018	0	658	"RT @angry_dog17: La blague qui ne fait pas rire @EmmanuelMacron cette semaine...

- Monsieur et Madame #17Novembre ont deux fils, comment s…"
Fri Nov 16 15:43:18 +0000 2018	0	20	RT @JUSTICEJPF1: ⚠️@EmmanuelMacron et @EPhilippePM... envoient sur #BFM🤮 1 Général de gendarmerie pour INTIMIDER les #GiletsJaunes 🤣🤣🤣En 17…
Fri Nov 16 15:43:16 +0000 2018	0	0	@EmmanuelMacron coucou Manu, j’espère tu vas baisser le prix de l’essence sinon d’Do you remembre 1789? Guillotine… https://t.co/TBHOkHizJL
Fri Nov 16 15:43:14 +0000 2018	0	0	@socflyny @EmmanuelMacron I guess women are just tougher than men!
Fri Nov 16 15:43:11 +0000 2018	0	476	"RT @JulietteEtVous: Alors dites-moi @EmmanuelMacron on a quoi à 5000e comme voiture ?

A ce point déconnecté de la réalité c'est pas possib…"
Fri Nov 16 15:43:03 +0000 2018	0	0	"@vero_parasote @EmmanuelMacron @VINCI_fr 😡En effet, hier (AR rapide, le kérosène ne pollue pas/ne coûte rien..)
...… https://t.co/HBurwXkyZy"
Fri Nov 16 15:43:00 +0000 2018	0	67	RT @GillesLeGendre: Analyse juste @EricLeBoucher dans @LesEchos. Autour de @EmmanuelMacron, notre manière de transformer la France est fond…
Fri Nov 16 15:34:14 +0000 2018	0	0	@naciodigital @RicardUstrell @marinelepen @quatregatstv3 @tv3cat Quina p*ta mania de portar xenòfobs a la nostra te… https://t.co/w8g5Zfan2L
Fri Nov 16 15:34:13 +0000 2018	0	0	@naciodigital @RicardUstrell @marinelepen @quatregatstv3 @tv3cat Gràcies per avisar. Un altre programa de TV3 q dei… https://t.co/FXORIjgWrv
Fri Nov 16 15:27:48 +0000 2018	0	1	RT @naciodigital: VÍDEO @RicardUstrell entrevistarà Marine Le Pen (@marinelepen) en el retorn del @quatregatstv3 a @tv3cat https://t.co/b9Y…
Fri Nov 16 15:27:19 +0000 2018	0	1	VÍDEO @RicardUstrell entrevistarà Marine Le Pen (@marinelepen) en el retorn del @quatregatstv3 a @tv3cat https://t.co/b9YqFmL9sp
Fri Nov 16 10:48:47 +0000 2018	0	0	"il est ou @marinelepen  , ce mec c croit français ou il est juste lui un cougrars !!!!
Occupe toi du foot la politi… https://t.co/5l3EsGSu2p"
Fri Nov 16 10:03:23 +0000 2018	0	0	"@LeHuffPost Pourquoi aucun extraterrestre n'a répondu...

Parce que ils sont effrayés par les gesticulations de… https://t.co/NkIGc5eB8T"
Fri Nov 16 04:00:19 +0000 2018	0	0	@GOPChairwoman @RonDeSantisFL @RepDeSantis @AfD @AfD_Bayern @AfD_Hessen @frontnational86 @fnpresse @marionlepen… https://t.co/czHWKJ6V7K
Thu Nov 15 21:07:26 +0000 2018	0	0	@HamillHimself Yeah like @marinelepen, @ArleneFoster or @AliceWeidelAfD
Thu Nov 15 16:54:42 +0000 2018	0	0	@V_of_Europe The idiotic liberal French people had a chance to elect @marinelepen  but were too stupid to realize h… https://t.co/bnrO13CLZo
Wed Nov 14 22:00:26 +0000 2018	1	0	@2xlegalaliens @realDonaldTrump @marinelepen Same thing.
Wed Nov 14 21:22:32 +0000 2018	0	1	@8Husbands @alischris05 @marinelepen @MimieMathyOff De rien :S
Wed Nov 14 21:20:32 +0000 2018	1	1	@alischris05 @marinelepen @8Husbands @MimieMathyOff
Wed Nov 14 19:37:25 +0000 2018	0	0	@pazcal1973 @realDonaldTrump @marinelepen And the far left ?
Wed Nov 14 09:46:01 +0000 2018	0	0	C'était le programme de @marinelepen conseillée par @PhilippeMurer , sauf erreur de ma part. https://t.co/pvX6nHS4dm
Wed Nov 14 02:40:42 +0000 2018	0	0	"@KershBranz @realDonaldTrump @marinelepen please, this soy boy is worse than Canada's .. get you an Alpha like 
marine le pen"
